slot,time,demand_kw
0,00:00,0.5370
1,00:15,0.4833
2,00:30,0.4359
3,00:45,0.3965
4,01:00,0.3674
5,01:15,0.3467
6,01:30,0.3330
7,01:45,0.3240
8,02:00,0.3183
9,02:15,0.3149
10,02:30,0.3126
11,02:45,0.3107
12,03:00,0.3086
13,03:15,0.3063
14,03:30,0.3047
15,03:45,0.3041
16,04:00,0.3053
17,04:15,0.3083
18,04:30,0.3123
19,04:45,0.3174
20,05:00,0.3248
21,05:15,0.3422
22,05:30,0.3785
23,05:45,0.4430
24,06:00,0.5402
25,06:15,0.6576
26,06:30,0.7787
27,06:45,0.8858
28,07:00,0.9662
29,07:15,1.0208
30,07:30,1.0542
31,07:45,1.0710
32,08:00,1.0758
33,08:15,1.0704
34,08:30,1.0574
35,08:45,1.0380
36,09:00,1.0145
37,09:15,0.9894
38,09:30,0.9656
39,09:45,0.9455
40,10:00,0.9312
41,10:15,0.9230
42,10:30,0.9192
43,10:45,0.9189
44,11:00,0.9218
45,11:15,0.9293
46,11:30,0.9431
47,11:45,0.9653
48,12:00,0.9960
49,12:15,1.0292
50,12:30,1.0568
51,12:45,1.0710
52,13:00,1.0662
53,13:15,1.0463
54,13:30,1.0170
55,13:45,0.9849
56,14:00,0.9551
57,14:15,0.9281
58,14:30,0.9027
59,14:45,0.8792
60,15:00,0.8573
61,15:15,0.8375
62,15:30,0.8226
63,15:45,0.8130
64,16:00,0.8115
65,16:15,0.8195
66,16:30,0.8391
67,16:45,0.8727
68,17:00,0.9213
69,17:15,0.9827
70,17:30,1.0536
71,17:45,1.1304
72,18:00,1.2102
73,18:15,1.2884
74,18:30,1.3602
75,18:45,1.4214
76,19:00,1.4675
77,19:15,1.4949
78,19:30,1.5006
79,19:45,1.4808
80,20:00,1.4351
81,20:15,1.3719
82,20:30,1.3020
83,20:45,1.2363
84,21:00,1.1829
85,21:15,1.1390
86,21:30,1.0994
87,21:45,1.0577
88,22:00,1.0104
89,22:15,0.9570
90,22:30,0.8997
91,22:45,0.8397
92,23:00,0.7781
93,23:15,0.7164
94,23:30,0.6552
95,23:45,0.5951
